I have always depended on the kindness of strangers. ,A Streetcar Named Desire (1951),53
I have to remind myself that some birds aren't meant to be caged.,The Shawshank Redemption (1994),65
"I knew it the first time I touched her. It was like coming home, only to no home I'd ever known. I was just taking her hand to help her out of a car and I knew it. It was like magic. ",Sleepless in Seattle (1993),183
I love the smell of napalm in the morning.,Apocalypse Now (1979),42
I see dead people.,The Sixth Sense (1999),18
I see you.,Avatar (2009),10
I want the truth!,A Few Good Men (1992),17
I want to play a game.,Saw (2004),22
I want to ride my bike. I want to ride my bicycle. I want to ride it where I like.,Bohemian Rhapsody (2018),82
I wish I knew how to quit you.,Brokeback Mountain (2005),30
"If you build it, he will come.",Field of Dreams (1989),30
"If you can't say something nice, don't say nothin' at all.",Bambi (1942),58
I'll be back.,The Terminator (1984),13
I'll be back...I always come back.,Jurassic Park (1993),34
"I'll get you, my pretty, and your little dog, too! ",The Wizard of Oz (1939),51
I'll have what she's having.,When Harry Met Sally (1989),28
"I'll never let go, Jack.",Titanic (1997),24
"I'm a damsel, I'm in distress, I can handle this. Have a nice day.",Hercules (1997),66
"I'm as mad as hell, and I'm not going to take this anymore!",Network (1976),59
I'm flyin' here!,Midnight Cowboy (1969),16
I'm gonna make him an offer he can't refuse.,The Godfather (1972),44
"I'm just a girl, standing in front of a boy, asking him to love her.",Notting Hill (1999),68
I'm just one stomach flu away from my goal weight. ,The Devil Wears Prada (2006),51
I'm king of the world!,Titanic (1997),22
"I'm mad as hell, and I'm not gonna take this anymore!",Network (1976),53
I'm not a prize to be won.,Aladdin (1992),26
"I'm not a psychopath, Anderson, I'm a high-functioning sociopath.",Sherlock Holmes (2009),65
"I'm not a smart man, but I know what love is.",Forrest Gump (1994),45
"I'm not afraid to die, and I'd do anything to get humans out of my forest.",Princess Mononoke (1997),74
"I'm not bad, I'm just drawn that way.",Who Framed Roger Rabbit (1988),37
I'm not who you think I am.,Arrival (2016),27
"I'm scared to close my eyes, I'm scared to open them...We're gonna die out here. ",The Blair Witch Project  (1999),81
"I'm sorry, Dave. I'm afraid I can't do that.",2001: A Space Odyssey (1968),44
I'm surrounded by idiots.,The Lion King (1994),25
"I'm the Dude, man.",The Big Lebowski (1998),18
I'm the guy who does his job. You must be the other guy.,The Departed (2006),56
I'm the king of the world!,Titanic (1997),26
Inception. Is it possible?,Inception (2010),26
It's just a flesh wound. ,Monty Python and the Holy Grail (1975),25
It's alive! It's alive!,Frankenstein (1931),23
"It's not the years, honey, it's the mileage.",Raiders of the Lost Ark (1981),44
"It's not who I am underneath, but what I do that defines me.",Batman Begins (2005),60
It's not your fault.,Good Will Hunting (1997),20
Just keep swimming.,Finding Dory (2016),19
"Keep the change, ya filthy animal.",Home Alone (1990),34
Keep the sand out of your weapons. Keep those actions clear. I'll see you on the beach. ,Saving Private Ryan (1988),88
"Keep your friends close, but your enemies closer.",The Godfather Part II (1974),49
Let it go.,Frozen (2013),10
Life is like a box of chocolates. You never know what you're gonna get.,Forrest Gump (1994),71
"Life is pain, Highness. anyone who says differently is selling something. ",The Princess Bride (1987),74
Listen to them. Children of the night. What music they make. ,Dracula (1931),61
Look at this stuff. Isn't it neat? Wouldn't you think my collection's complete?,The Little Mermaid (1989),79
"Louis, I think this is the beginning of a beautiful friendship. ",Casablanca (1942),64
May the Force be with you.,Star Wars (1977),26
"Mrs. Robinson, you're trying to seduce me. Aren't you? ",The Graduate (1967),55
My precious.,The Lord of the Rings: The Two Towers (2002),12
"No matter how your heart is grieving, if you keep on believing, the dream that you wish will come true.",Cinderella (1950),103
Nobody puts Baby in a corner.,Dirty Dancing (1987),29
Nobody's perfect.,Some Like It Hot (1959),17
"Of all the gin joints in all the towns in all the world, she walks into mine. ",Casablanca (1942),78
"Oh, it's not the speed really so much, I just wish I hadn't drunk all that cough syrup this morning.",The Royal Tenenbaums (2001),100
"Oh, no, it wasn't the airplanes. It was Beauty killed the Beast. ",King Kong (1933),65
"Oh, yes, the past can hurt. But from the way I see it, you can either run from it or learn from it.",The Lion King (1994),99
Ohana means family. Family means nobody gets left behind or forgotten.,Lilo & Stitch (2002),70
"One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know. ",Animal Crackers (1930),86
Remember who you are.,The Lion King (1994),21
"Roads? Where we're going, we don't need roads.",Back to the Future (1985),46
Say hello to my little friend!,Scarface (1983),30
Show me the money!,Jerry Maguire (1996),18
Some people are worth melting for.,Frozen (2013),34
"Stella! Hey, Stella!",A Streetcar Named Desire (1951),20
"That rug really tied the room together, did it not? ",The Big Lebowski (1998),52
"That's what I love about these high school girls, man. I get older, they stay the same age.",Dazed and Confused (1993),91
The Avengers. That's what we call ourselves; we're sort of like a team.,The Avengers (2012),71
The first rule of Fight Club is: You do not talk about Fight Club.,Fight Club (1999),66
The flower that blooms in adversity is the most rare and beautiful of all.,Mulan (1998),74
The greatest thing you'll ever learn is just to love and be loved in return.,Moulin Rouge! (2001),76
The greatest trick the devil ever pulled was convincing the world he didn't exist.,The Usual Suspects (1995),82
"The past can hurt. But the way I see it, you can either run from it or learn from it.",The Lion King (1994),85
The past is just a story we tell ourselves.,Her (2013),43
The seaweed is always greener in somebody else's lake.,The Little Mermaid (1989),54
The stuff that dreams are made of. ,The Maltese Falcon (1941),35
"The truth is like poetry, and most people fucking hate poetry.",The Big Short (2015),62
The very things that hold you down are going to lift you up.,Dumbo (1941),60
"There are many points of view out there, and those points of view have validity to them.",American Beauty (1999),88
There's a snake in my boot!,Toy Story 2 (1999),27
There's no crying in baseball!,A League of Their Own (1992),30
There's no place like home.,The Wizard of Oz (1939),27
"They may take our lives, but they'll never take our freedom! ",Braveheart (1995),61
They're here! ,"Poltergeist, 1982.",14
This is the beginning of a beautiful friendship.,The Artist (2011),48
"This is your life, and it's ending one minute at a time.",Fight Club (1999),56
To infinity and beyond!,Toy Story (1995),23
"Toto, I've got a feeling we're not in Kansas anymore. ",The Wizard of Oz (1939),54
Wakanda forever! ,Black Panther (2018),17
"Wax on, wax off.",The Karate Kid (1984),16
We rob banks. ,Bonnie and Clyde (1967),14
We'll always have Paris.,Casablanca (1942),24
"Well, nobody's perfect. ",Some Like It Hot (1959),24
We're all just one stomach flu away from looking like Christian Bale.,Bridesmaids (2011),69
What is love? Baby don't hurt me.,A Night at the Roxbury (1998),33
What is your major malfunction?,Full Metal Jacket (1987),31
What we've got here is failure to communicate.,Cool Hand Luke (1967),46
What's your favorite scary movie?,Scream 4 (2011),33
"When life gets you down, you know what you gotta do? Just keep swimming.",Finding Nemo (2003),72
"Why do we fall, Bruce? So we can learn to pick ourselves up.",The Dark Knight Rises (2012),60
Why so serious?,The Dark Knight (2008),15
Wilson! ,Cast Away (2000),8
With great power comes great responsibility.,The Amazing Spider-Man (2012),44
"Yippie-ki-yay, motherf***er.",Die Hard (1988),28
You are a toy!,Toy Story (1995),14
You can't handle the truth!,A Few Good Men (1992),27
You complete me.,Jerry Maguire (1996),16
You don't have time to be timid. You must be bold and daring.,Beauty and the Beast (1991),61
You either die a hero or live long enough to see yourself become the villain. ,The Dark Knight (2008),78
You had me at hello.,Jerry Maguire (1996),20
"You know how to whistle, don't you, Steve? You just put your lips together and blow.",To Have and Have Not (1944),84
You shall not pass!,The Lord of the Rings: The Fellowship of the Ring (2001),19
You talkin' to me?,Taxi Driver (1976),18
You want the truth? You can't handle the truth!,A Few Good Men (1992),47
"Your scientists were so preoccupied with whether or not they could, they didn't stop to think if they should. ",Jurassic Park (1993),110
You're gonna need a bigger boat.,Jaws (1975),32
"You're killin' me, Smalls.",The Sandlot (1993),26
You've got a friend in me.,Toy Story (1995),26
You've got red on you. ,Shaun of the Dead (2004),23
